iter	RMSE
0	2.795308226
1	2.737853911
2	2.685070574
3	2.634266423
4	2.592322296
5	2.551562274
6	2.513631293
7	2.478826368
8	2.444962447
9	2.413076309
10	2.386378931
11	2.36069259
12	2.336356237
13	2.314923531
14	2.296506669
15	2.277680078
16	2.259638289
17	2.243879738
18	2.229171317
19	2.215851653
20	2.203105607
21	2.191731356
22	2.176990033
23	2.167786587
24	2.153231844
25	2.136082214
26	2.119927271
27	2.113060796
28	2.101651261
29	2.08859183
30	2.084045854
31	2.076092286
32	2.071213744
33	2.064110035
34	2.059073575
35	2.055037447
36	2.046503164
37	2.037063599
38	2.030273329
39	2.026219061
40	2.022790889
41	2.013457232
42	2.009262893
43	2.00446744
44	1.99983386
45	1.996361259
46	1.990360612
47	1.987167616
48	1.986485754
49	1.98315769
50	1.981153119
51	1.978180837
52	1.975870342
53	1.973670498
54	1.971783052
55	1.96770208
56	1.964340867
57	1.962391896
58	1.957320572
59	1.954253056
60	1.953551349
61	1.951229923
62	1.948833752
63	1.944749413
64	1.940967751
65	1.940340049
66	1.936428111
67	1.928429331
68	1.927035061
69	1.923244068
70	1.922699365
71	1.922051485
72	1.920423165
73	1.919781829
74	1.9189907
75	1.918263761
76	1.915305082
77	1.911139827
78	1.910523838
79	1.908091123
80	1.907096383
81	1.904834644
82	1.902777506
83	1.902155728
84	1.901988483
85	1.901648282
86	1.900925066
87	1.898715007
88	1.898713247
89	1.896308101
90	1.895304675
91	1.893297012
92	1.893295379
93	1.892955297
94	1.890349495
95	1.890347985
96	1.890101992
97	1.889612047
98	1.887682377
99	1.886735264
100	1.884674669
101	1.883078099
102	1.880400183
103	1.877316207
104	1.868979541
105	1.868387089
106	1.865935688
107	1.865210965
108	1.863297385
109	1.86287192
110	1.862575009
111	1.862130566
112	1.862059986
113	1.861007741
114	1.860888724
115	1.860727474
116	1.859133394
117	1.858052766
118	1.8563193
119	1.855560062
120	1.855059932
121	1.853940128
122	1.85225813
123	1.851585227
124	1.850793799
125	1.850209524
126	1.847874584
127	1.845458068
128	1.844391817
129	1.843145741
130	1.840967697
131	1.840634278
132	1.840581611
133	1.838897516
134	1.838588413
135	1.837539291
136	1.837537209
137	1.837025216
138	1.836646072
139	1.835351173
140	1.835165859
141	1.835164773
142	1.834830054
143	1.834288234
144	1.832999094
145	1.83250962
146	1.83190398
147	1.83153256
148	1.830557715
149	1.829125491
150	1.829028109
151	1.825280644
152	1.824543108
153	1.824136174
154	1.823880776
155	1.823879293
156	1.823379013
157	1.822945837
158	1.821858165
159	1.820847075
160	1.82076133
161	1.819144669
162	1.818730864
163	1.818300805
164	1.818300042
165	1.817043222
166	1.815886053
167	1.815181184
168	1.814466325
169	1.814185672
170	1.814122779
171	1.813827964
172	1.812984811
173	1.811821388
174	1.811716493
175	1.811009553
176	1.810714406
177	1.810465954
178	1.810336166
179	1.809717258
180	1.809106687
181	1.806090738
182	1.805294607
183	1.805223552
184	1.804630517
185	1.804196772
186	1.803675149
187	1.798243891
188	1.798114645
189	1.797797605
190	1.797792231
191	1.797053477
192	1.796039494
193	1.795823283
194	1.795739567
195	1.795004667
196	1.793750256
197	1.793695965
198	1.793590156
199	1.792518787
200	1.792286672
201	1.790953995
202	1.790193056
203	1.78936301
204	1.78936247
205	1.788630329
206	1.788041164
207	1.787634625
208	1.786184599
209	1.785636328
210	1.785484112
211	1.784479939
212	1.784098139
213	1.783437635
214	1.781884731
215	1.781497245
216	1.780358415
217	1.780352336
218	1.77940416
219	1.779327394
220	1.775532509
221	1.775366696
222	1.775262049
223	1.774979544
224	1.774881217
225	1.774824019
226	1.774614376
227	1.7738068
228	1.773691428
229	1.773499947
230	1.771321575
231	1.771169519
232	1.771097224
233	1.770371153
234	1.769640039
235	1.768889906
236	1.768243678
237	1.768243321
238	1.767967657
239	1.767829738
240	1.767585592
241	1.767106085
242	1.766276983
243	1.763065082
244	1.762768793
245	1.761287503
246	1.76111468
247	1.760483441
248	1.759884851
249	1.75968868
250	1.759388851
251	1.759110839
252	1.758406237
253	1.758062065
254	1.757386221
255	1.757156198
256	1.75653762
257	1.755510681
258	1.7551525
259	1.752044661
260	1.752026106
261	1.75198803
262	1.751213104
263	1.750356184
264	1.749877404
265	1.749416431
266	1.749204386
267	1.749105702
268	1.748517466
269	1.747773316
270	1.747727016
271	1.747529629
272	1.74697223
273	1.746828903
274	1.746217977
275	1.745805248
276	1.745745033
277	1.745645008
278	1.74491883
279	1.744834053
280	1.744139501
281	1.744114221
282	1.743909234
283	1.74371511
284	1.743093749
285	1.743046865
286	1.742707359
287	1.741852513
288	1.741313389
289	1.741178399
290	1.740308558
291	1.739598897
292	1.739546734
293	1.738718854
294	1.738593686
295	1.737505778
296	1.736667057
297	1.736495516
298	1.736299901
299	1.735941349
