iter	Passed	Remaining
0	182	54508
1	213	31860
2	247	24459
3	279	20662
4	313	18497
5	349	17105
6	387	16223
7	424	15510
8	462	14968
9	500	14504
10	527	13868
11	577	13852
12	624	13781
13	675	13797
14	717	13638
15	754	13395
16	789	13141
17	826	12947
18	860	12730
19	895	12531
20	929	12348
21	964	12186
22	998	12025
23	1030	11851
24	1063	11699
25	1098	11571
26	1129	11423
27	1164	11307
28	1198	11202
29	1234	11111
30	1266	10987
31	1302	10908
32	1338	10827
33	1373	10744
34	1406	10648
35	1438	10551
36	1473	10474
37	1508	10400
38	1540	10309
39	1575	10243
40	1609	10169
41	1645	10105
42	1680	10042
43	1717	9990
44	1754	9941
45	1790	9884
46	1825	9828
47	1862	9775
48	1879	9627
49	1913	9567
50	1949	9518
51	1985	9471
52	2020	9417
53	2054	9357
54	2089	9309
55	2124	9258
56	2157	9195
57	2194	9154
58	2229	9104
59	2263	9053
60	2322	9098
61	2356	9046
62	2391	8997
63	2425	8944
64	2460	8896
65	2497	8854
66	2535	8817
67	2660	9077
68	2705	9058
69	2747	9027
70	2783	8976
71	2817	8923
72	2853	8874
73	2891	8831
74	2925	8777
75	2959	8723
76	2997	8680
77	3032	8629
78	3064	8571
79	3099	8523
80	3133	8472
81	3169	8424
82	3203	8374
83	3239	8329
84	3271	8275
85	3305	8224
86	3339	8175
87	3373	8126
88	3390	8039
89	3425	7993
90	3461	7950
91	3501	7916
92	3521	7837
93	3565	7813
94	3621	7815
95	3634	7724
96	3668	7677
97	3704	7635
98	3739	7592
99	3774	7548
100	3811	7509
101	3850	7474
102	3887	7434
103	3923	7393
104	3960	7355
105	4001	7323
106	4059	7322
107	4094	7279
108	4134	7245
109	4189	7235
110	4245	7229
111	4293	7207
112	4332	7170
113	4369	7128
114	4404	7085
115	4438	7040
116	4477	7003
117	4513	6962
118	4550	6921
119	4587	6881
120	4621	6836
121	4659	6798
122	4695	6756
123	4730	6714
124	4765	6671
125	4800	6628
126	4836	6588
127	4873	6548
128	4909	6507
129	4947	6470
130	4986	6432
131	5022	6391
132	5053	6344
133	5087	6302
134	5122	6260
135	5158	6220
136	5171	6152
137	5206	6112
138	5243	6073
139	5281	6035
140	5317	5996
141	5330	5930
142	5364	5890
143	5403	5853
144	5439	5815
145	5475	5775
146	5509	5734
147	5547	5697
148	5583	5658
149	5642	5642
150	5691	5616
151	5733	5582
152	5773	5546
153	5824	5521
154	5885	5505
155	5916	5461
156	5977	5444
157	6019	5409
158	6055	5370
159	6092	5331
160	6128	5290
161	6165	5252
162	6202	5213
163	6238	5173
164	6251	5114
165	6285	5073
166	6321	5034
167	6356	4994
168	6395	4957
169	6434	4920
170	6471	4881
171	6505	4841
172	6542	4802
173	6579	4764
174	6615	4725
175	6651	4686
176	6687	4647
177	6721	4607
178	6756	4566
179	6790	4527
180	6826	4488
181	6863	4450
182	6897	4410
183	6932	4370
184	6967	4331
185	7002	4291
186	7037	4252
187	7076	4215
188	7107	4174
189	7143	4135
190	7169	4091
191	7203	4052
192	7240	4014
193	7275	3975
194	7311	3937
195	7350	3900
196	7386	3862
197	7420	3822
198	7455	3783
199	7491	3745
200	7527	3707
201	7564	3669
202	7601	3632
203	7637	3594
204	7650	3545
205	7687	3507
206	7722	3469
207	7758	3431
208	7797	3395
209	7842	3361
210	7879	3323
211	7915	3285
212	7951	3247
213	7987	3210
214	8025	3173
215	8061	3135
216	8097	3097
217	8132	3059
218	8170	3022
219	8210	2985
220	8247	2948
221	8281	2909
222	8316	2871
223	8352	2833
224	8386	2795
225	8421	2757
226	8456	2719
227	8492	2681
228	8528	2644
229	8560	2605
230	8595	2567
231	8633	2530
232	8669	2492
233	8705	2455
234	8744	2418
235	8781	2381
236	8818	2344
237	8831	2300
238	8866	2263
239	8901	2225
240	8938	2188
241	8980	2152
242	9017	2115
243	9053	2077
244	9085	2039
245	9119	2001
246	9156	1964
247	9192	1927
248	9229	1890
249	9265	1853
250	9300	1815
251	9335	1778
252	9370	1740
253	9406	1703
254	9444	1666
255	9477	1628
256	9511	1591
257	9549	1554
258	9583	1517
259	9620	1480
260	9655	1442
261	9689	1405
262	9726	1368
263	9762	1331
264	9796	1293
265	9835	1257
266	9869	1219
267	9902	1182
268	9940	1145
269	9976	1108
270	10009	1071
271	10042	1033
272	10076	996
273	10113	959
274	10150	922
275	10188	885
276	10221	848
277	10256	811
278	10291	774
279	10324	737
280	10361	700
281	10393	663
282	10432	626
283	10471	589
284	10523	553
285	10558	516
286	10595	479
287	10636	443
288	10676	406
289	10715	369
290	10753	332
291	10793	295
292	10831	258
293	10871	221
294	10923	185
295	10967	148
296	11007	111
297	11044	74
298	11081	37
299	11122	0
